"sample","maydate","daystohatching","timeofday","abundancemostcommonpeak"
"LI1",11,-9,"13",0
"LI10",11,-6,"16",554.1
"LI101",29,12,"10",0
"LI102",29,12,"11",4786.8
"LI104",29,12,"11",1861385
"LI105",29,12,"11",131812.8
"LI107",29,11,"13",348955.5
"LI110",29,12,"13",1023633.5
"LI111",29,11,"14",0
"LI112",29,10,"14",293475
"LI113",29,10,"14",1002947.4
"LI114",29,11,"14",34291.2
"LI115",29,11,"15",150208.3
"LI116",29,11,"15",235456.9
"LI119",29,11,"16",1059410.3
"LI12",11,-8,"16",148322.3
"LI122",29,10,"17",234549.3
"LI123",29,12,"17",85774.7
"LI124",29,12,"18",97748
"LI125",29,11,"18",1473578.5
"LI126",29,10,"19",916320
"LI127",29,10,"19",450350.5
"LI128",30,11,"12",17810.1
"LI129",30,11,"13",84507.8
"LI13",11,-7,"16",722.6
"LI130",30,11,"13",32042.1
"LI132",30,11,"13",0
"LI134",30,11,"14",242930.2
"LI135",30,11,"14",374241
"LI138",30,11,"16",30153.1
"LI139",30,11,"16",52357.8
"LI14",11,-7,"17",121614.3
"LI140",30,11,"16",16191.4
"LI141",30,10,"19",6056.9
"LI142",30,10,"19",917637.6
"LI144",30,10,"19",376493.2
"LI145",30,10,"19",51370.7
"LI146",33,12,"13",409858.1
"LI147",33,12,"13",26979.1
"LI148",33,11,"13",101746.6
"LI15",11,-8,"17",118723.3
"LI150",33,10,"13",2143748.3
"LI151",33,10,"13",1022432.6
"LI152",33,10,"14",645585.8
"LI153",33,10,"14",521001.9
"LI178",25,6,"13",534698.9
"LI18",11,-8,"18",2146.9
"LI19",11,-6,"18",0
"LI22",11,-7,"18",10918.2
"LI24",11,-9,"18",1118197
"LI26",13,-5,"9",37281.6
"LI27",13,-7,"10",308186
"LI28",13,-8,"10",625.6
"LI29",13,-10,"10",109637.8
"LI31",13,-6,"10",5749.3
"LI34",13,-6,"10",122394.6
"LI35",13,-10,"10",790470.2
"LI36",13,-4,"10",1223102
"LI37",13,-6,"11",45118.1
"LI38",13,-5,"11",664635.2
"LI39",13,-11,"11",17064
"LI40",13,-9,"11",1711789.7
"LI42",13,-7,"11",147060.7
"LI44",13,-9,"12",770713.9
"LI46",13,-11,"12",560937.4
"LI48",13,-4,"12",1400863.4
"LI59",13,-4,"17",198579.1
"LI6",11,-4,"14",150628.7
"LI66",25,8,"10",363470.5
"LI67",25,8,"11",0
"LI68",25,5,"11",5173785.2
"LI69",25,8,"11",0
"LI7",11,-8,"15",2465.9
"LI70",25,8,"11",21829.6
"LI72",25,8,"11",59239.1
"LI73",25,8,"11",534737
"LI74",25,5,"12",3320692.6
"LI75",25,8,"12",275696
"LI79",25,7,"13",2516.9
"LI8",11,-4,"15",6236.5
"LI81",25,10,"13",1184226
"LI82",25,10,"13",2491289.3
"LI83",25,7,"14",3142635.5
"LI84",25,7,"14",377890.2
"LI85",25,8,"14",283531.1
"LI86",25,8,"14",49856.4
"LI87",25,6,"14",479003.1
"LI89",25,10,"16",1965.1
"LI91",25,7,"16",938201.3
"LI92",25,7,"16",862264
"LI93",25,5,"17",20875.1
"LI94",25,5,"17",15440.5
"LI95",25,10,"18",28741.4
"LI96",30,7,"16",170864.8
"LI97",30,11,"17",487468.2
"LI98",30,6,"17",32698.2
